Campaign,Segment,Role,Product,Variant,SKU,Price (INR),Stock,Product URL,Why this product
1,PDP Visit 15–30 Days,HERO,Dev Aastha Silver Plated Kuber Kalash Khazana | Laxmi Murti,2.5 inch,Dev-SP- Kalash Khazana -2.55 inch,1249,531,https://www.devaastha.com/products/silver-plated-kalash-khazana-2-5-inch,#1 by order count — 203 orders in 30 days. Lowest price barrier in the catalogue.
1,PDP Visit 15–30 Days,BUNDLE ADD-ON,Lakshmi Charan Silver-Plated Idol,3 inch,DEV-SP-Lakshmi Charan W(Base) - 3 Inch,1499,453,https://www.devaastha.com/products/lakshmi-charan-silver-plated-idol,"Takes cart to ₹2,748, clearing the ₹1,999 floor for LAKSHMI251."
2,PDP Visit 7–14 Days,HERO,DYNAMIC — the exact product they viewed,as viewed,dynamic,dynamic,—,,"Recent intent. Re-show what they looked at, do not switch."
2,PDP Visit 7–14 Days,CROSS-SELL,Dev Aastha Silver Plated Kuber Kalash Khazana | Laxmi Murti,2.5 inch,Dev-SP- Kalash Khazana -2.55 inch,1249,531,https://www.devaastha.com/products/silver-plated-kalash-khazana-2-5-inch,Carries the 200+ orders proof point that the copy leans on.
3,PDP Visit 2–7 Days,HERO,DYNAMIC — the exact product they viewed,as viewed,dynamic,dynamic,—,,"Hottest cohort. Pure re-show, no cross-sell, no discount."
4,Coll Visit – 180 Days,HERO,Silver-Plated Lakshmi Ganesha Idol Set | Auspicious Ganesh Laxmi Murti,3.7 inch,DEV-SP- Lakshmi Ganesh - 3.7 Inch,2499,403,https://www.devaastha.com/products/lakshmi-ganesh-silver-plated-idol-set,"59 sets in 30 days at ₹2,743 AOV. Existing velvet-box asset ready to use."
4,Coll Visit – 180 Days,BUNDLE ADD-ON,Panchmukhi Diya Silver-Plated for Pooja,Default,DEV-PANCHMUKHI_DIYA,1999,514,https://www.devaastha.com/products/panchmukhi-diya-silver-plated-for-pooja,"Takes cart to ₹4,498, clearing the ₹2,999 floor for SET351."
5,HP Visit 7–30 Days,HERO,Handcrafted Silver-Plated Elephant Pair for Vastu & Gifting,2 Inch,DEV-SP-P(2)-ELEPENT-2INCH,1499,322,https://www.devaastha.com/products/elephant-murti-silver-plated,"#1 by revenue — 533 orders in 180 days. Entry price equals the ₹1,499 floor exactly."
5,HP Visit 7–30 Days,UPSELL LADDER,Elephant Pair — larger sizes,"3in ₹2,099 · 4in ₹3,499 · 5in ₹6,999 · 7in ₹10,999",DEV-SP-P(2)-ELEPENT-3/4/5/7INCH,2099-10999,442/489/499/498,https://www.devaastha.com/products/elephant-murti-silver-plated,"Show on the PDP, not in the message. Keeps the ₹1,499 hook clean."
6,Orders – 180 Days,HERO,Lakshmi Charan Silver-Plated Idol,3 inch,DEV-SP-Lakshmi Charan W(Base) - 3 Inch,1499,453,https://www.devaastha.com/products/lakshmi-charan-silver-plated-idol,Completion logic: they already own Ganesha. No discount — early access only.
6,Orders – 180 Days,UPSELL,Lakshmi Charan Silver-Plated Idol,5 inch,DEV-SP-Lakshmi Charan W(Base) - 5 Inch,2499,496,https://www.devaastha.com/products/lakshmi-charan-silver-plated-idol,"Repeat buyers trade up. Averaged ₹9,857/order last month — bulk demand is real."
7,ATC – 180 Days,HERO,DYNAMIC — the exact product in their cart,as in cart,dynamic,dynamic,—,,Never substitute a cart item. Show back exactly what they chose.
8,Orders 180d — bulk slice,HERO,Silver Plated Shubh Labh Door Decor for Home Entrance - 5 Inch,Pack of 6,DEV-SP- BandarWal– 4.5-inch P(6),7499,498,https://www.devaastha.com/products/silver-plated-subh-labh-hanging-4-5-inch,"₹1,250 per piece. Clears the ₹7,499 floor for BULK1100 on its own."
8,Orders 180d — bulk slice,ALSO OFFER,Shubh Labh — Single · Kuber Kalash · Lakshmi Charan 3in,"Single ₹2,999 · ₹1,249 · ₹1,499",DEV-SP- Shubh Labh - 4.5 Inch + 2 others,1249-2999,486/531/453,https://www.devaastha.com/products/silver-plated-subh-labh-hanging-4-5-inch,Mix-and-match options for buyers building a list to a headcount.
9,ALL — Pitru Paksha,NO PRODUCT,No product in the message — pre-book only,—,—,—,—,,Selling murtis during Shraddh is the one thing that damages trust here.
9,ALL — Pitru Paksha,RESERVE LIST (goes live 11 Oct),Kuber Kalash · Ashta Lakshmi Tortoise 2in · Panchmukhi Diya,"₹1,249 · ₹1,499 · ₹1,999",Kalash 2.55 + Ashta 2in + PANCHMUKHI_DIYA,1249-1999,531/488/514,https://www.devaastha.com/products/ashta-lakshmi-tortoise-silver-plated-idol,"Ghatasthapana set. Reserve now, charge on 11 Oct when Navratri opens."
10,ALL — Dhanteras,HERO (combo),Lakshmi Charan 3in + Kuber Kalash 2.5in,"₹1,499 + ₹1,249 = ₹2,748",Lakshmi Charan 3 Inch + Kalash Khazana 2.55 inch,2748,453/531,https://www.devaastha.com/products/lakshmi-charan-silver-plated-idol,"Both wealth heroes in one cart. ₹251 off lands it at ₹2,497."
10,ALL — Dhanteras,ALSO PUSH,Ashta Lakshmi Tortoise · Lakshmi Ganesha Set,"2in ₹1,499 / 4.5in ₹3,299 · Set ₹2,499",Ashta Lakshmi 2in/4.5in + Lakshmi Ganesh 3.7,1499-3299,488/491/403,https://www.devaastha.com/products/ashta-lakshmi-tortoise-silver-plated-idol,"Dhanteras is a buy-silver day, not a one-SKU day. Give the mandir a full shelf."
