#,Group,Segment,Cohort Size,Send Date/Time,WhatsApp Message Copy,Discount,Image Suggestion,CTA Button 1,CTA Button 2
1,Your cohort,PDP Visit 15–30 Days,"6,003 contacts — largest",26 Sep · 12:00 PM,"{{1}}, Bappa's visarjan is done. Now the *Kalash* is filled 🪔

Kuber is the treasurer of the gods — his kalash is the vessel Lakshmi fills first.

999 Silver Plated · *₹1,249*
🏆 Our most-ordered murti this month

Add a Lakshmi Charan (₹1,499) → ₹2,748
Flat *₹251 off* with Coupon Code *LAKSHMI251* → *₹2,497* 🎁

⌛ Ends tonight — Shraddh starts tomorrow !!

""May Kuber fill your kalash and Lakshmi never leave your door 🙏""
— Dev Aastha","• Flat ₹251 off
• Min cart ₹1,999
• Code: LAKSHMI251
• ₹2,748 → ₹2,497
• The ₹1,999 floor forces a 2-item cart: you collect ₹2,497 instead of ₹1,249","• HERO SHOOT — Kuber Kalash + Lakshmi Charan photographed together as a pair
• House template: wooden base, dark green backdrop, jute mat, 999 SILVER PLATED badge
• Marigold garland and one lit diya at the edge
• Price lockup bottom-right: ₹2,748 struck through, ₹2,497 in saffron
• Highest-value new creative in the pack — shoot this one first",Buy Now,Explore Collection
2,Your cohort,PDP Visit 7–14 Days,"4,231 contacts",25 Sep · 6:30 PM,"{{1}}, *{{2}}* is still in stock — but not for long 🪔

*200+ families* brought home the Kuber Kalash this month.
Silver bought before Shraddh stays in the mandir all year.

An *exclusive ₹151 off*, held 24 hours 🎁
Use Coupon Code *AASTHA151*

⌛ After 27 Sep, the next shubh muhurat is 11 Oct !!

""May silver enter your home before the fortnight turns 🙏""
— Dev Aastha","• Flat ₹151 off
• Min cart ₹1,499
• Code: AASTHA151
• Effective 10.1%
• Price held 24 hours only","• Split frame: their viewed product (left) + Kuber Kalash (right)
• Thin gold divider between the two halves
• ""200+ homes this month"" strip along the bottom
• Lit diya in soft background bokeh
• Keeps the cross-sell without abandoning their original intent",Buy Now,Explore Collection
3,Your cohort,PDP Visit 2–7 Days,"4,417 contacts",25 Sep · 11:00 AM,"{{1}}, you were looking at *{{2}}* 👀

Only *{{3}} pieces* left in this size.

Order by tomorrow and it reaches you before *Shraddh* 🎁
Free velvet gift box + priority dispatch today

⌛ After 27 Sep, sthapana waits till Navratri — 11 Oct !!

""May the murti you chose find its place in your mandir 🙏""
— Dev Aastha","• NO DISCOUNT — deliberate
• Free velvet gift box
• Priority dispatch today
• Hottest cohort; discounting here is margin donation","• DYNAMIC: the exact product they viewed
• Detail crop — show the hand-work and silver finish
• Red ""Only {{3}} left"" badge, top-right, replacing the usual price badge
• No price on creative — scarcity is the whole message
• Alt version: product half-out of the velvet box, mid-unboxing",Buy Now,See Details
4,Your cohort,Coll Visit – 180 Days,"1,538 contacts",26 Sep · 5:00 PM,"{{1}}, the *Diwali mandir* is set up now — not in November 🪔

Lakshmi for wealth. Ganesha to keep the path clear.
On Diwali night, the two are never kept apart.

Lakshmi Ganesha Set ₹2,499 + Panchmukhi Diya ₹1,999 = ₹4,498
Flat *₹351 off* with Coupon Code *SET351* → *₹4,147* 🎁

⌛ Tonight only — Shraddh begins tomorrow !!

""May your mandir be complete before the lamps are lit 🙏""
— Dev Aastha","• Flat ₹351 off
• Min cart ₹2,999
• Code: SET351
• ₹4,498 → ₹4,147
• Highest-AOV cohort in the pack","• USE EXISTING ASSET: 01-silver-plated-lakshmi-ganesh-idol-set-velvet-gift-box.webp
• Composite the Panchmukhi Diya in beside the open box, wick lit
• Deep maroon backdrop — reads as gift, not product
• ""403 in stock"" trust line, bottom-left
• Warm side-light to catch the silver edges",Buy the Set,See All Sets
5,Your cohort,HP Visit 7–30 Days,"5,975 contacts",26 Sep · 8:00 PM,"{{1}}, you came by. You didn't stay 🙏

*533 homes* chose this in the last six months:

*Silver-Plated Elephant Pair* — placed at the entrance facing inward, the Vastu symbol of stability, and the bearer Gaja-Lakshmi rides in on.

999 Silver Plated · From *₹1,499*
An *exclusive ₹151 off* your first order 🎁
Use Coupon Code *FIRST151*

⌛ Before Shraddh — tomorrow !!

""May your doorway carry in what never leaves 🙏""
— Dev Aastha","• Flat ₹151 off first order
• Min cart ₹1,499
• Code: FIRST151
• New customers only, 1 use per person
• Entry price ₹1,499 = the floor exactly","• LIFESTYLE, not packshot — Elephant Pair on a real console at a home entrance
• Both elephants facing inward toward the house: the Vastu rule is the story
• Door frame and rangoli edge visible for context
• Large ""533 homes in 6 months"" badge — proof does the selling here
• Zero product signal in this cohort, so the creative must sell trust",Shop Elephant Pair,Explore Best Sellers
6,Your cohort,Orders – 180 Days,"2,635 contacts — repeat buyers",26 Sep · 1:00 PM,"{{1}}, *Ganesha* is already in your home 🙏

The mandir is only half-set. Ganesha clears the path — Lakshmi has to walk in on it.

*Lakshmi Charan Paduka*: her footprints at your entrance, facing inward, so she walks in and does not leave.

999 Silver Plated · *₹1,499*

🎁 As a Dev Aastha family member, your Diwali collection opens *48 hours early*. No code needed.

""May her feet find your threshold first 🙏""
— Dev Aastha","• NO DISCOUNT — deliberate
• 48-hour early access instead
• Repeat rate is 7.6%; they already paid full price
• Discounting trains the base to wait for sales
• Zero acquisition cost = highest-margin cohort you have","• Lakshmi Charan Paduka on a real threshold, facing inward
• Rangoli and diyas framing the doorstep, shot at dusk
• The footprint motif is the entire idea — keep it unmistakable
• Gold-foil ""Early Access"" seal, top-right
• Premium and quiet. No sale flash, no strike-through price.",Open Early Access,My Past Orders
7,Your cohort,ATC – 180 Days,"2,398 contacts",24 Sep · 7:00 PM,"{{1}}, your *{{2}}* is still waiting in your cart 🛒

Bappa has gone home. Now the house prepares for *Maa Lakshmi* 🪔

An *exclusive ₹151 off* is reserved for you 🎁
Use Coupon Code *CART151*

⌛ Cart clears tonight — 11:59 PM !!

""May what you chose reach your mandir before the doors close 🙏""
— Dev Aastha","• Flat ₹151 off
• Min cart ₹1,499
• Code: CART151
• Effective 10.1%
• Expires 24 Sep, 11:59 PM","• DYNAMIC: the exact product in their cart
• House template: product on wooden base, dark green backdrop, jute mat
• Keep the 999 SILVER PLATED maroon badge, top-left
• Swap the arrow callout to point at the product
• Add a small cart icon + ""Still yours"" ribbon",Buy Now,View Cart
8,Suggested (added),Orders – 180 Days (bulk slice),~300 contacts,12 Oct · 11:00 AM,"{{1}}, *Diwali gifting lists* close in October 🎁

Last year the good pieces were gone by Dhanteras.

*Shubh Labh* — 'Shubh' for auspiciousness, 'Labh' for profit. The one Diwali gift nobody re-gifts.

Pack of 6 — ₹7,499 (₹1,250 each)
Flat *₹1,100 off* with Coupon Code *BULK1100* → *₹6,399*

✅ Free branded gift boxes
✅ 25+ pieces — dedicated manager
✅ Dispatch before 1 Nov guaranteed

⌛ Bulk slots close 25 Oct !!

""May every name on your list receive something that stays 🙏""
— Dev Aastha","• Flat ₹1,100 off
• Min cart ₹7,499
• Code: BULK1100
• ₹7,499 → ₹6,399
• Lakshmi Charan averaged ₹9,857/order, Shubh Labh ₹3,570 — vs ₹1,900 store AOV","• Flat-lay: all 6 Shubh Labh pieces in an overhead grid
• Beside them, a stack of branded Dev Aastha boxes with ribbon
• Corporate-clean styling — neutral linen, even lighting
• Small inset: one piece hung on an office door
• Sells volume and finish, not devotion. Different tone from the rest.",Get Bulk Quote,See Corporate Range
9,Suggested (added),ALL COHORTS — Pitru Paksha,"~27,000 contacts",28 Sep · 9:00 AM,"{{1}}, these fifteen days belong to the *elders* 🙏

*Pitru Paksha*, 27 September to 10 October.
A fortnight for shraddh and tarpan — not for new beginnings.

So we are not selling you anything today.

When *Navratri* opens on 11 October, the Ghatasthapana pieces go live — Kalash, Ashta Lakshmi, Panchmukhi Diya.

Reserve yours now. Nothing is charged until 11 October.

""May your ancestors be remembered, and your home be ready 🙏""
— Dev Aastha","• NO OFFER. NO SELLING.
• Zero-risk reservation; nothing charged until 11 Oct
• Competitors will blast discounts through Shraddh and get muted
• Standing down publicly is how you own the 11 Oct open
• Parks all ~27,000 into a warm pre-book list","• NO PRODUCT IN FRAME — that is the entire point
• A single lit oil diya against a dark, warm, near-black ground
• Generous empty space, small centred text, nothing else
• No 999 SILVER PLATED badge, no price, no button graphic
• If it looks like an ad, the message fails. Make it look like a note.",Reserve for Navratri,Set a Reminder
10,Suggested (added),ALL COHORTS — Dhanteras,"~27,000 contacts",6 Nov · 7:00 AM,"{{1}}, today is the one day *silver* must enter the house 🪔

*Dhanteras.* Silver bought today is not decoration — it is for the year ahead.

Lakshmi Charan ₹1,499 · Kuber Kalash ₹1,249
Both together ₹2,748
Flat *₹251 off* with Coupon Code *DHAN251* → *₹2,497* 🎁

⌛ Muhurat closes tonight — same-day dispatch till 2 PM !!

""May Lakshmi walk in today and stay all year 🙏""
— Dev Aastha","• Flat ₹251 off
• Min cart ₹1,999
• Code: DHAN251
• ₹2,748 → ₹2,497
• Cap the code to 6 Nov only — biggest silver-buying day of the year","• Both pieces arranged on a silver puja thali
• Marigold petals, a few coins, one lit diya
• Deep red cloth — Dhanteras colour language
• Top strip: ""Dhanteras Muhurat · 6 November""
• Add a live countdown treatment if your tool supports it",Buy Before Muhurat Ends,Shop Dhanteras
